Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Avg Temp,Avg Temp Flag,Avg Wind Speed,Avg Wind Speed Flag,Total Solar Rad,Total Solar Rad Flag,deg,deg,ft,,,,Degrees F,,mph,,Lys,
Ada,47.32119,-96.51406,910,2023,07,31,65.228,,3.438,,522.127,
Ada,47.32119,-96.51406,910,2023,08,01,77.270,,7.847,,493.062,
Ada,47.32119,-96.51406,910,2023,08,02,74.309,,3.671,,639.614,
Ada,47.32119,-96.51406,910,2023,08,03,73.643,,3.691,,605.665,
Ada,47.32119,-96.51406,910,2023,08,04,69.233,,3.036,,456.633,
Ada,47.32119,-96.51406,910,2023,08,05,73.580,,3.593,,349.665,
Ada,47.32119,-96.51406,910,2023,08,06,68.837,,6.026,,484.183,
Ada,47.32119,-96.51406,910,2023,08,07,64.445,,2.930,,565.463,
Ada,47.32119,-96.51406,910,2023,08,08,68.477,,6.527,,511.611,
Ada,47.32119,-96.51406,910,2023,08,09,66.515,,4.619,,499.158,
Ada,47.32119,-96.51406,910,2023,08,10,59.942,,5.149,,329.805,
Ada,47.32119,-96.51406,910,2023,08,11,65.795,,3.691,,419.576,
Ada,47.32119,-96.51406,910,2023,08,12,63.077,,3.042,,394.097,
Ada,47.32119,-96.51406,910,2023,08,13,60.854,,3.033,,189.203,
Ada,47.32119,-96.51406,910,2023,08,14,63.734,,3.877,,604.384,
Ada,47.32119,-96.51406,910,2023,08,15,73.634,,9.236,,583.105,
Ada,47.32119,-96.51406,910,2023,08,16,67.523,,10.084,,290.638,
Ada,47.32119,-96.51406,910,2023,08,17,64.715,,7.695,,553.286,
Ada,47.32119,-96.51406,910,2023,08,18,69.323,,12.768,,518.348,
Ada,47.32119,-96.51406,910,2023,08,19,71.636,,7.082,,533.669,
Ada,47.32119,-96.51406,910,2023,08,20,56.021,,4.022,,167.775,
Ada,47.32119,-96.51406,910,2023,08,21,67.019,,7.355,,217.927,
Ada,47.32119,-96.51406,910,2023,08,22,74.264,,6.040,,328.663,
Ada,47.32119,-96.51406,910,2023,08,23,72.392,,4.463,,268.026,
Ada,47.32119,-96.51406,910,2023,08,24,73.148,,4.328,,414.243,
Ada,47.32119,-96.51406,910,2023,08,25,67.676,,9.883,,505.639,
Ada,47.32119,-96.51406,910,2023,08,26,61.088,,3.901,,361.372,
Ada,47.32119,-96.51406,910,2023,08,27,65.147,,8.608,,467.528,
Ada,47.32119,-96.51406,910,2023,08,28,66.533,,5.465,,492.237,
Ada,47.32119,-96.51406,910,2023,08,29,63.599,,7.035,,500.493,
Ada,47.32119,-96.51406,910,2023,08,30,63.881,,6.324,,515.331,
Ada,47.32119,-96.51406,910,2023,08,31,75.065,,15.739,,380.427,
Ada,47.32119,-96.51406,910,2023,09,01,77.720,,9.706,,469.523,
Ada,47.32119,-96.51406,910,2023,09,02,74.552,,7.024,,470.364,
Ada,47.32119,-96.51406,910,2023,09,03,80.348,,4.912,,496.580,
Ada,47.32119,-96.51406,910,2023,09,04,80.321,,7.572,,268.184,
Ada,47.32119,-96.51406,910,2023,09,05,69.386,,13.835,,93.987,
Ada,47.32119,-96.51406,910,2023,09,06,55.661,,8.151,,472.539,
